res_grp_cd,res_grp_nm,res_cd,res_nm,item_cd,item_nm,yymmdd,type,qty
3205,평비S-4,10001574,평택_비스켓_S/L-4^TWIN PILLOW 포장기,5142653,칙촉 오리지널 6+2입 120g,2022-04-19,D,3085.71
3205,평비S-4,10001574,평택_비스켓_S/L-4^TWIN PILLOW 포장기,5142653,칙촉 오리지널 6+2입 120g,2022-04-19,N,1042.86
3205,평비S-4,10001574,평택_비스켓_S/L-4^TWIN PILLOW 포장기,5142653,칙촉 오리지널 6+2입 120g,2022-04-20,D,911.57
3205,평비S-4,10001574,평택_비스켓_S/L-4^TWIN PILLOW 포장기,5142653,칙촉 오리지널 6+2입 120g,2022-04-20,N,3085.71
3205,평비S-4,10001574,평택_비스켓_S/L-4^TWIN PILLOW 포장기,5142653,칙촉 오리지널 6+2입 120g,2022-04-22,D,3085.71
3205,평비S-4,10001574,평택_비스켓_S/L-4^TWIN PILLOW 포장기,5142653,칙촉 오리지널 6+2입 120g,2022-04-22,N,854.57
3205,평비S-4,10001574,평택_비스켓_S/L-4^TWIN PILLOW 포장기,5142653,칙촉 오리지널 6+2입 120g,2022-04-21,D,3085.71
3205,평비S-4,10001574,평택_비스켓_S/L-4^TWIN PILLOW 포장기,5142653,칙촉 오리지널 6+2입 120g,2022-04-21,N,3085.71
3101,평스SN-1,10003106,평택_스낵_SN-1^BOX 제함기 #2,5142933,꼬깔콘 고소한맛 67g(12입),2022-04-19,D,0.0
3101,평스SN-1,10003106,평택_스낵_SN-1^BOX 제함기 #2,5142933,꼬깔콘 고소한맛 67g(12입),2022-04-19,N,4000.0
3101,평스SN-1,10003106,평택_스낵_SN-1^BOX 제함기 #2,5142933,꼬깔콘 고소한맛 67g(12입),2022-04-20,D,6395.0
3101,평스SN-1,10003106,평택_스낵_SN-1^BOX 제함기 #2,5142933,꼬깔콘 고소한맛 67g(12입),2022-04-20,N,0.0
3101,평스SN-1,10003106,평택_스낵_SN-1^BOX 제함기 #2,5142933,꼬깔콘 고소한맛 67g(12입),2022-04-18,D,6000.0
3101,평스SN-1,10003106,평택_스낵_SN-1^BOX 제함기 #2,5142933,꼬깔콘 고소한맛 67g(12입),2022-04-18,N,9000.0
3101,평스SN-1,10003106,평택_스낵_SN-1^BOX 제함기 #2,5142934,꼬깔콘 고소한맛 67g(20입),2022-04-18,D,0.0
3101,평스SN-1,10003106,평택_스낵_SN-1^BOX 제함기 #2,5142934,꼬깔콘 고소한맛 67g(20입),2022-04-18,N,2700.0
3101,평스SN-1,10003106,평택_스낵_SN-1^BOX 제함기 #2,5142937,꼬깔콘 군옥수수맛 67g(12입),2022-04-18,D,0.0
