dmd_id,item_cd,res_grp,resource,start,end
FP_64,5129867,3105,10000723,2022-04-21 01:11:11,2022-04-21 18:01:54
FP_65,5107372,3204,10001520,2022-04-21 07:28:03,2022-04-21 13:25:45
FP_66,5139979,3204,10001520,2022-04-19 17:13:34,2022-04-20 10:22:55
FP_67,5140025,3204,10001520,2022-04-21 01:41:40,2022-04-21 06:12:55
FP_68,5140532,3204,10001520,2022-04-21 03:47:33,2022-04-21 05:01:10
FP_69,5142248,3204,10001520,2022-04-21 05:31:02,2022-04-21 05:49:56
FP_7,5129868,3105,10000723,2022-04-18 19:13:20,2022-04-18 22:16:40
FP_70,5129868,3105,10000723,2022-04-20 00:59:33,2022-04-20 12:37:30
FP_71,5101327,3203,10001339,2022-04-19 03:50:33,2022-04-19 14:50:33
FP_72,5141313,3105,10000723,2022-04-21 21:20:49,2022-04-21 22:46:48
FP_74,5142584,3204,10001520,2022-04-21 05:01:10,2022-04-21 05:31:02
FP_75,5140895,3204,10001520,2022-04-22 14:35:18,2022-04-23 10:26:14
FP_76,5141760,3203,10001339,2022-04-18 07:00:00,2022-04-18 07:26:51
FP_77,5124651,3107,10006506,2022-04-18 08:49:10,2022-04-18 09:30:58
FP_78,5142182,3105,10000723,2022-04-20 22:59:44,2022-04-20 23:18:04
FP_79,5140082,3205,10001574,2022-04-20 07:36:40,2022-04-20 08:27:18
FP_8,5139979,3204,10001520,2022-04-19 00:46:20,2022-04-19 16:54:40
FP_80,5105464,3203,10001339,2022-04-19 01:45:00,2022-04-19 03:50:33
FP_81,5141447,3204,10001520,2022-04-21 05:49:56,2022-04-21 06:28:26
FP_83,5142484,3107,10006506,2022-04-19 15:06:28,2022-04-19 20:59:28
FP_87,5142653,3205,10001574,2022-04-20 08:27:18,2022-04-22 15:19:24
FP_89,5142249,3204,10001520,2022-04-19 16:54:40,2022-04-19 17:13:34
FP_91,5142935,3108,10003168,2022-04-19 04:39:24,2022-04-19 23:07:00
FP_96,5124851,3202,10001450,2022-04-19 06:20:00,2022-04-19 06:34:42
FP_99,5142960,3101,10003107,2022-04-19 19:21:44,2022-04-19 21:33:28
